user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform,age_scaled,reels_watch_time_hours_scaled,daily_screen_time_hours_scaled,sleep_hours_scaled,attention_span_score_scaled,focus_level_scaled,task_completion_rate_scaled,cluster_b_sem_pca,cluster_b
1,21,1.86,7.34,8.95,4.99,5.09,45.44,Medium,TikTok,-1.0009585187493872,-0.8742952918466368,0.1118560028342476,1.6960468395709138,-0.1904759229461126,-0.1630470826042935,-1.43350977572175,2,0
2,34,3.03,5.78,5.78,3.73,8.25,50.17,High,TikTok,0.5012014516681634,-0.1352380078736691,-0.4310962874162375,-0.4953792389285621,-0.6755295071173819,1.0555976632604247,-1.158470326670067,2,2
3,43,3.96,9.62,5.46,5.48,8.96,43.27,Low,TikTok,1.5411583542649292,0.4522177819509978,0.905401657815726,-0.7165957515846609,-0.0018439735461745,1.3294070840085106,-1.5596906646101538,2,1
4,29,3.56,7.25,5.09,5.54,9.77,64.99,Low,Instagram Reels,-0.0765523831078176,0.1995486250371627,0.0805318322428735,-0.972377344343275,0.0212538161762667,1.641781211904213,-0.2967188182248376,0,1
5,25,4.58,2.13,8.12,8.07,4.11,89.28,Low,Instagram Reels,-0.5387554509286024,0.8438549751674425,-1.7014654280664117,1.122266509869158,0.995210616139212,-0.5409812126509465,1.115693067074396,1,2
6,22,2.04,9.36,5.05,2.11,6.35,88.73,Medium,YouTube Shorts,-0.8854077517941911,-0.7605941712354111,0.8149096094406452,-1.0000294084252874,-1.2991698296232994,0.322868227455689,1.083711735789317,0,1
7,43,3.61,9.32,8.62,1.74,8.41,94.29,Low,TikTok,1.5411583542649292,0.2311322696513919,0.8009877558444791,1.4679173108943122,-1.4416061995783545,1.1173011946966132,1.4070139211439374,1,1
8,35,0.98,3.65,7.34,4.62,5.79,84.74,Medium,YouTube Shorts,0.6167522186233596,-1.4301674370570745,-1.1724349914120926,0.5830512602699182,-0.3329122929011678,0.1069058674290302,0.8517017142848311,1,2
9,21,2.78,11.57,8.49,8.99,5.16,54.67,High,YouTube Shorts,-1.0009585187493872,-0.2931562309448161,1.584092020628833,1.3780481026277729,1.3493767252166466,-0.136051787600961,-0.896804888883054,2,0
10,40,4.63,4.24,6.77,8.7,6.15,82.14,Medium,Instagram Reels,1.1945060533993406,0.8754386197816717,-0.9670876508686398,0.1890093471012424,1.2377374082248462,0.2457388131604539,0.7005172391190017,1,1
11,33,4.31,6.58,7.45,6.04,4.21,85.23,High,TikTok,0.3856506847129672,0.6733032942506034,-0.1526592154929118,0.6590944364954523,0.2137353971966116,-0.502416505503329,0.8801941730660842,1,1
12,37,5.95,3.15,7.1,9.0,2.73,72.59,Medium,YouTube Shorts,0.8478537525337521,1.709246837597328,-1.3464581613641713,0.4171388757778441,1.3532263568370535,-1.0731741712880702,0.1452050322598962,1,0
13,25,2.03,8.03,8.16,8.25,1.6,88.42,Low,YouTube Shorts,-0.5387554509286024,-0.766910900158257,0.3520079773681159,1.149918573951171,1.064503985306536,-1.50895536205615,1.0656858945195444,1,0
14,25,3.24,5.75,8.18,3.5,6.49,44.28,Low,YouTube Shorts,-0.5387554509286024,-0.0025867004939053,-0.4415376776133624,1.163744605992177,-0.7640710343867405,0.3768588174623539,-1.5009613107957354,2,0
15,38,2.31,5.53,6.95,2.53,4.41,75.69,High,Instagram Reels,0.9634045194889482,-0.5900424903185723,-0.5181078723922768,0.3134436354702982,-1.1374853015662096,-0.4252870912080935,0.325463444957616,1,2
16,35,2.92,10.27,7.16,3.71,8.95,68.79,Low,TikTok,0.6167522186233596,-0.2047220260249737,1.1316317787534282,0.4586169719008629,-0.6832287703581956,1.3255506132937482,-0.0757568929824702,2,1
17,18,5.21,2.1,8.61,3.04,3.01,88.31,Low,TikTok,-1.347610819614976,1.2418088973067327,-1.7119068182635362,1.4610042948738091,-0.9411540889254578,-0.965192991274741,1.0592896282625286,1,0
18,22,4.26,9.98,8.65,6.6,3.8,47.68,Low,Instagram Reels,-0.8854077517941911,0.6417196496363741,1.030698340181223,1.4886563589558222,0.4293147679393977,-0.6605318048085614,-1.303258535578881,2,0
19,38,5.35,7.71,7.32,6.26,9.73,52.76,High,TikTok,0.9634045194889482,1.3302431022265748,0.2406331485987858,0.5692252282289123,0.2984272928455633,1.6263553290451664,-1.0078673302548753,2,1
20,17,1.62,11.86,4.04,6.39,6.01,73.52,Medium,Instagram Reels,-1.463161586570172,-1.025896785994938,1.6850254592010383,-1.6982440264960983,0.3484725039108529,0.1917482231537889,0.1992825560692118,0,1
21,36,5.3,7.89,4.52,2.7,4.12,96.83,Medium,TikTok,0.7323029855785558,1.2986594576123456,0.3032814897815341,-1.366419257511951,-1.0720415640192924,-0.5371247419361848,1.55470952380594,0,1
